s1,s2
The golden-green woodpecker (Piculus chrysochloros) is a species of bird in subfamily Picinae of the woodpecker family Picidae,golden-green woodpecker scientific name Piculus chrysochloros
"The golden-headed cisticola (Cisticola exilis), also known as the bright-capped cisticola, is a species of warbler in the family Cisticolidae, found in Australia and thirteen Asian countries",golden-headed cisticola scientific name Cisticola exilis
"The golden-headed manakin (Ceratopipra erythrocephala) is a small passerine bird which breeds in tropical Central and South America in both wet and dry forests, secondary growth and plantations",golden-headed manakin scientific name Ceratopipra erythrocephala
The golden-headed quetzal or corequenque (Pharomachrus auriceps) is a strikingly coloured bird in the genus Pharomachrus; it is also referred to as Trogon auriceps,golden-headed quetzal scientific name Pharomachrus auriceps
The golden-hooded tanager (Stilpnia larvata) is a medium-sized passerine bird,golden-hooded tanager scientific name Stilpnia larvata
The golden-mantled racket-tail (Prioniturus platurus) is a species of parrot in the family Psittaculidae,Golden-mantled Racket-tail scientific name Prioniturus platurus
The golden-naped finch (Pyrrhoplectes epauletta) is a species of finch in the family Fringillidae,golden-naped finch scientific name Pyrrhoplectes epauletta
The golden-naped tanager (Chalcothraupis ruficervix) is a species of bird in the tanager family Thraupidae,golden-naped tanager scientific name Chalcothraupis ruficervix
The golden-naped weaver (Ploceus aureonucha) is a species of bird in the family Ploceidae,golden-naped weaver scientific name Ploceus aureonucha
The golden-naped woodpecker (Melanerpes chrysauchen) is a species of bird in the woodpecker family Picidae,golden-naped woodpecker scientific name Melanerpes chrysauchen
The golden-olive woodpecker (Colaptes rubiginosus) is a species of bird in subfamily Picinae of the woodpecker family Picidae,golden-olive woodpecker scientific name Colaptes rubiginosus
"The golden-plumed parakeet (Leptosittaca branickii) is a Neotropical parrot species within the family Psittacidae, belonging to the monotypic genus Leptosittaca","golden-plumed parakeet scientific name Psittacidae, Leptosittaca"
The golden-rumped flowerpecker (Dicaeum annae) is a species of bird in the family Dicaeidae,golden-rumped flowerpecker scientific name Dicaeum annae
The golden-sided euphonia (Euphonia cayennensis) is a species of bird in the family Fringillidae,golden-sided euphonia scientific name Euphonia cayennensis
The golden-spangled piculet (Picumnus exilis) is a species of bird in subfamily Picumninae of the woodpecker family Picidae,golden-spangled piculet scientific name Picumnus exilis
The golden-spotted ground dove (Metriopelia aymara) is a species of bird in the family Columbidae,Golden-spotted ground dove scientific name Metriopelia aymara
"The golden-tufted mountain grackle (Macroagelaius imthurni), also known as the golden-tufted grackle, is a species of bird in the family Icteridae",golden-tufted mountain grackle scientific name Macroagelaius imthurni
The golden-winged cacique (Cacicus chrysopterus) is a species of bird in the family Icteridae,golden-winged cacique scientific name Cacicus chrysopterus
The golden-winged manakin (Masius chrysopterus) is a species of bird in the family Pipridae,golden-winged manakin scientific name Masius chrysopterus
The golden-winged sparrow (Arremon schlegeli) is a species of bird in the family Passerellidae that can found in Colombia and Venezuela,golden-winged sparrow scientific name Arremon schlegeli
The golden-winged sunbird (Drepanorhynchus reichenowi) is a species of bird in the family Nectariniidae,golden-winged sunbird scientific name Drepanorhynchus reichenowi
"The golden-winged tody-flycatcher (Poecilotriccus calopterus) is a species of bird in the family Tyrannidae, and one of twelve in the genus Poecilotriccus",golden-winged tody-flycatcher scientific name Poecilotriccus calopterus
The golden-winged warbler (Vermivora chrysoptera) is a New World warbler,golden-winged warbler scientific name New World warbler
Goldie's bird-of-paradise (Paradisaea decora) is a species of bird-of-paradise,Goldie's bird-of-paradise scientific name Paradisaea decora
Goldie's lorikeet (Glossoptilus goldiei) is a species of parrot in the family Psittaculidae,lorikeet scientific name Glossoptilus goldiei
Goldman's warbler (Setophaga goldmani) is a songbird species in the New World warbler family (Parulidae),Goldman's warbler scientific name Setophaga goldmani
"The gold-ringed tanager (Bangsia aureocincta) is a species of bird in the family Thraupidae, endemic to Colombia",gold-ringed tanager scientific name Bangsia aureocincta
The goliath coucal (Centropus goliath) is a species of cuckoo in the family Cuculidae,Goliath Coucal scientific name Centropus goliath
"The goliath imperial pigeon (Ducula goliath), also known as the New Caledonian imperial pigeon[2] and the notou,[3] is a species of bird in the family Columbidae",Goliath Imperial Pigeon scientific name Ducula goliath
"The gorgeted puffleg (Eriocnemis isabellae) is a Critically Endangered species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",Gorgeted puffleg scientific name Eriocnemis isabellae
"The gorgeted sunangel (Heliangelus strophianus) is a species of hummingbird in the ""coquettes"", tribe Lesbiini of subfamily Lesbiinae",gorgeted sunangel scientific name Heliangelus strophianus
The rare gorgeted wood quail (Odontophorus strophium) is a small ground-dwelling bird,gorgeted wood quail scientific name Odontophorus strophium
Gosling's apalis (Apalis goslingi) is a species of bird in the family Cisticolidae,Gosling's Apalis scientific name Apalis goslingi
"Gosling's bunting[2] (Emberiza goslingi), also known as the grey-throated bunting,[1] is a species of bird in the family Emberizidae",Gosling's bunting scientific name Emberiza goslingi
"The Gough moorhen (Gallinula comeri) is a medium-sized, almost flightless bird that is similar to the common moorhen (Gallinula chloropus), but is smaller, stockier, and has shorter wings",Gough moorhen scientific name Gallinula comeri
"The Gouldian finch (Chloebia gouldiae), also known as the Lady Gouldian finch, Gould's finch or the rainbow finch, is a colourful passerine bird that is native to Australia",Gouldian finch scientific name Chloebia gouldiae
Gould's emerald (Riccordia elegans) is an extinct species of hummingbird in the family Trochilidae,hummingbird scientific name Riccordia elegans
Gould's frogmouth (Batrachostomus stellatus) is a nocturnal species of bird in the order Caprimulgiformes and the family Podargidae,Gould's frogmouth scientific name Batrachostomus stellatus
Gould's jewelfront or Gould's brilliant  (Heliodoxa aurescens) is a medium-sized hummingbird in the family Trochilidae,Gould's jewelfront scientific name Heliodoxa aurescens
Gould's petrel (Pterodroma leucoptera) is a species of seabird in the family Procellariidae,Gould's petrel scientific name Pterodroma leucoptera
Gould's toucanet (Selenidera gouldii) is a near-passerine bird in the toucan family Ramphastidae,Gould's toucanet scientific name Selenidera gouldii
The graceful honeyeater (Microptilotis gracilis) is a species of bird in the family Meliphagidae,honeyeater scientific name Microptilotis gracilis
"The graceful pitta (Erythropitta venusta), sometimes alternatively known as the black-crowned pitta (although this term is more regularly applied to E",pitta scientific name Erythropitta venusta
The graceful prinia (Prinia gracilis) is a small warbler (in some older works it is referred to as graceful warbler),Prinia gracilis scientific name Prinia gracilis
Grace's warbler (Setophaga graciae) is a small New World warbler that specializes in pine woods,Grace's warbler scientific name Setophaga graciae
The Grand Comoro brush warbler (Nesillas brevicaudata) is a species of Old World warbler in the family Acrocephalidae,Grand Comoro brush warbler scientific name Nesillas brevicaudata
"The Grand Comoro bulbul (Hypsipetes parvirostris) is a species of songbird in the bulbul family, Pycnonotidae",Grand Comoro bulbul scientific name Hypsipetes parvirostris
The Grand Comoro drongo (Dicrurus fuscipennis) is a species of bird in the family Dicruridae,Grand Comoro drongo scientific name Dicrurus fuscipennis
"The grand rhabdornis (Rhabdornis grandis), also known as the long-billed rhabdornis or long-billed creeper, is a species of bird currently placed in the starling family, Sturnidae",grand rhabdornis scientific name Rhabdornis grandis
The grandala (Grandala coelicolor) is a species of bird in the thrush family Turdidae,Grandala scientific name Grandala coelicolor
Grant's bluebill (Spermophaga poliogenys) is a species of estrildid finch found in forests in central Africa in subtropical forests or in moist lowlands,Grant's bluebill scientific name Estrildid Finch
The grass wren (Cistothorus platensis) is a species of passerine bird in the family Troglodytidae,Grass Wren scientific name Cistothorus platensis
The grass-green tanager (Chlorornis riefferii) is a small South America bird in the tanager family Thraupidae,grass-green tanager scientific name Chlorornis riefferii
The grasshopper buzzard (Butastur rufipennis) is a species of bird of prey in the family Accipitridae which is found in a narrow zone of sub-Saharan Africa north of the equator,grasshopper buzzard scientific name Butastur rufipennis
The grassland sparrow (Ammodramus humeralis) is a species of bird in the family Passerellidae,Grassland Sparrow scientific name Ammodramus humeralis
"Grauer's broadbill (Pseudocalyptomena graueri), also known as the African green broadbill, is a species of bird in the family Eurylaimidae, and is monotypic within the genus Pseudocalyptomena",Grauer's broadbill scientific name Pseudocalyptomena graueri
Grauer's swamp warbler (Bradypterus graueri) is a species of Old World warbler in the family Locustellidae,Grauer's swamp warbler scientific name Bradypterus graueri
Grauer's warbler (Graueria vittata) is a species of Old World warbler in the family Acrocephalidae,Grauer's warbler scientific name Graueria vittata
The gray-barred wren (Campylorhynchus megalopterus) is a species of bird in the family Troglodytidae,gray-barred wren scientific name Campylorhynchus megalopterus
"The gray kingbird or grey kingbird (Tyrannus dominicensis), also known as pitirre, petchary or white-breasted kingbird, is a passerine bird in the tyrant flycatchers family Tyrannidae",gray kingbird scientific name Tyrannus dominicensis
The gray thrasher (Toxostoma cinereum) is a medium-sized passerine bird belonging to the family Mimidae,gray thrasher scientific name Toxostoma cinereum
The gray vireo (Vireo vicinior) is a small North American passerine bird,gray vireo scientific name Vireo vicinior
The gray-headed kite (Leptodon cayanensis) is a raptor found in open woodland and swamp forests,gray-headed kite scientific name Leptodon cayanensis
The gray-throated warbling finch (Microspingus cabanisi) is a species of bird in the family Thraupidae,gray-throated warbling finch scientific name Microspingus cabanisi
The great antpitta (Grallaria excelsa) is a species of bird in the family Grallariidae,great antpitta scientific name Grallaria excelsa
"The great antshrike (Taraba major) is a passerine bird in the antbird family, Thamnophilidae",antshrike scientific name Taraba major
The great argus (Argusianus argus) is a species of pheasant from Southeast Asia,argus scientific name Argusianus argus
The great auk (Pinguinus impennis) is a species of flightless alcid that became extinct in the mid-19th century,great auk scientific name Pinguinus impennis
"The great barbet (Psilopogon virens) is an Asian barbet native to the Indian sub-continent and Southeast Asia, where it inhabits foremost forests up to 3,000 m (9,800 ft) altitude",Great barbet scientific name Psilopogon virens
"The great black hawk (Buteogallus urubitinga) is a bird of prey in the family Accipitridae, which also includes the eagles, hawks, and Old World vultures",great black hawk scientific name Buteogallus urubitinga
The great black-backed gull (Larus marinus) is the largest member of the gull family,Great black-backed gull scientific name Larus marinus
"The great blue heron (Ardea herodias) is a large wading bird in the heron family Ardeidae, common near the shores of open water and in wetlands over most of North America and Central America, as well as far northwestern South America, the Caribbean and the Galápagos Islands",great blue heron scientific name Ardea herodias
The great blue turaco (Corythaeola cristata) is a bird species of the  family Musophagidae,great blue turaco scientific name Corythaeola cristata
"The great bowerbird (Chlamydera nuchalis) is a common and conspicuous resident of northern Australia, from the area around Broome across the Top End to Cape York Peninsula and as far south as Mount Isa",Great Bowerbird scientific name Chlamydera nuchalis
"The great bustard (Otis tarda) is a bird in the bustard family, and it is the only living member of the genus Otis",great bustard scientific name Otis tarda
The great cuckoo-dove (Reinwardtoena reinwardti) is a species of bird in the family Columbidae,cuckoo-dove scientific name Reinwardtoena reinwardti
"The great curassow (Crax rubra) is a large, pheasant-like bird from the Neotropical rainforests, its range extending from eastern Mexico, through Central America to western Colombia and northwestern Ecuador",great curassow scientific name Crax rubra
The great eared nightjar (Lyncornis macrotis) is a species of nightjar in the family Caprimulgidae,Great eared nightjar scientific name Lyncornis macrotis
"The great egret (Ardea alba), also known as the common egret, large egret, or (in the Old World) great white egret[2] or great white heron[3][4][5] is a large, widely distributed egret",great egret scientific name Ardea alba
"The great grey owl (Strix nebulosa) (also great gray owl in American English) is a very large owl, documented as the world's largest species of owl by length",Great Grey Owl scientific name Strix nebulosa
"The great hanging parrot (Loriculus stigmatus), also called Celebes hanging parrot, Sulawesi hanging parrot and maroon-rumped hanging parrot, is a species of parrot in the family Psittaculidae",great hanging parrot scientific name Loriculus stigmatus
The great iora (Aegithina lafresnayei) is a species of bird in the family Aegithinidae,great iora scientific name Aegithina lafresnayei
The great jacamar (Jacamerops aureus) is a species of bird in the family Galbulidae,jacamar scientific name Jacamerops aureus
"The great kiskadee (Pitangus sulphuratus), called bem-te-vi in Brazil and benteveo in Argentina, is a passerine bird in the tyrant flycatcher family Tyrannidae",great kiskadee scientific name Pitangus sulphuratus
The great knot (Calidris tenuirostris) is a small wader,great knot scientific name Calidris tenuirostris
"The great lizard cuckoo (Coccyzus merlini) is a species of bird in the tribe Phaenicophaeini, subfamily Cuculinae of the cuckoo family Cuculidae",great lizard cuckoo scientific name Coccyzus merlini
"The great myna (Acridotheres grandis), also known as the white-vented myna, is a species of starling in the family Sturnidae",myna scientific name Acridotheres grandis
"The Great Nicobar serpent eagle (Spilornis klossi), also known as the South Nicobar serpent eagle, is a species of bird of prey in the family Accipitridae",Great Nicobar serpent eagle scientific name Spilornis klossi
The great potoo (Nyctibius grandis) is the largest potoo species and is widely distributed in Central and South America,potoo scientific name Nyctibius grandis
The great rosefinch (Carpodacus rubicilla) is a species of finch in the family Fringillidae,Great Rosefinch scientific name Carpodacus rubicilla
"The great rufous woodcreeper (Xiphocolaptes major) is a species of bird in the Dendrocolaptinae subfamily, the woodcreepers",Great Rufous Woodcreeper scientific name Xiphocolaptes major
The great shearwater (Ardenna gravis) is a large shearwater in the seabird family Procellariidae,shearwater scientific name Ardenna gravis
"The great shortwing (Heinrichia calligyna) is a species of bird in the family Muscicapidae, and the only member of its genus",great shortwing scientific name Heinrichia calligyna
The great shrike-tyrant (Agriornis lividus) is a species of bird in the family Tyrannidae,shrike-tyrant scientific name Agriornis lividus
The great slaty woodpecker (Mulleripicus pulverulentus) is a species of bird in the family Picidae,Great Slaty Woodpecker scientific name Mulleripicus pulverulentus
"The great sparrow (Passer motitensis), also known as the southern rufous sparrow, is found in southern Africa in dry, wooded savannah and towns",great sparrow scientific name Passer motitensis
"The great spotted kiwi, great grey kiwi[2] or roroa (Apteryx haastii) is a species of kiwi endemic to the South Island of New Zealand",Kiwi scientific name Apteryx haastii
The great spotted woodpecker (Dendrocopos major) is a medium-sized woodpecker with pied black and white plumage and a red patch on the lower belly,Great spotted woodpecker scientific name Dendrocopos major
"The great stone-curlew or  great thick-knee (Esacus recurvirostris) is a large wader which is a resident breeder in tropical southern Asia from India, Pakistan, Sri Lanka, Bangladesh into South-east Asia",Great Stone-Curlew scientific name Esacus recurvirostris
The great swallow-tailed swift (Panyptila sanctihieronymi) is a species of bird in subfamily Apodinae of the swift family Apodidae,swallow-tailed swift scientific name Panyptila sanctihieronymi
The great thrush (Turdus fuscater) is a species of bird in the family Turdidae,Great Thrush scientific name Turdus fuscater
The great tit (Parus major) is a passerine bird in the tit family Paridae,great tit scientific name Parus major
"The great white pelican (Pelecanus onocrotalus) also known as the eastern white pelican, rosy pelican or white pelican is a bird in the pelican family",great white pelican scientific name Pelecanus onocrotalus
"The great woodswallow (Artamus maximus), also known as the greater woodswallow, giant woodswallow or New Guinea woodswallow is a species of bird in the family Artamidae",great woodswallow scientific name Artamus maximus
"The great xenops (Megaxenops parnaguae) is a furnariid bird, which is endemic to the Caatinga region of north-eastern Brazil",xenops scientific name Megaxenops parnaguae
The great-billed hermit (Phaethornis malaris) is a species of hummingbird in the family Trochilidae,Great-billed Hermit scientific name Phaethornis malaris
"The great-billed heron (Ardea sumatrana) is a wading bird of the heron family, resident from southeast Asia to Papua New Guinea and Australia",great-billed heron scientific name Ardea sumatrana
The great-billed kingfisher or black-billed kingfisher (Pelargopsis melanorhyncha) is a species of bird in the subfamily Halcyoninae,great-billed kingfisher scientific name Pelargopsis melanorhyncha
The great-billed mannikin or grand munia (Lonchura grandis) is a species of estrildid finch found in northern and eastern New Guinea,great-billed mannikin scientific name Lonchura grandis
"The great-billed parrot (Tanygnathus megalorynchos) also known as Moluccan parrot or island parrot, is a medium-sized, approximately 38 cm long, green parrot with a massive red bill, cream iris, blackish shoulders, olive green back, pale blue rump and yellowish green underparts",Great-billed parrot scientific name Tanygnathus megalorynchos
The greater ani (Crotophaga major) is a bird in the cuckoo family,greater ani scientific name Crotophaga major
The Greater Antillean bullfinch (Melopyrrha violacea) is a species of bird in the family Thraupidae,Greater Antillean bullfinch scientific name Melopyrrha violacea
"The Greater Antillean grackle (Quiscalus niger) is a grackle found throughout the Greater Antilles, as well as smaller nearby islands",Greater Antillean grackle scientific name Quiscalus niger
The greater bird-of-paradise (Paradisaea apoda) is a bird-of-paradise in the genus Paradisaea,greater bird-of-paradise scientific name Paradisaea apoda
The greater blue-eared starling or greater blue-eared glossy-starling (Lamprotornis chalybaeus) is a bird that breeds from Senegal east to Ethiopia and south through eastern Africa to northeastern South Africa and Angola,greater blue-eared starling scientific name Lamprotornis chalybaeus
"The greater coucal or crow pheasant (Centropus sinensis), is a large non-parasitic member of the cuckoo order of birds, the Cuculiformes",greater coucal scientific name Centropus sinensis
"The greater double-collared sunbird (Cinnyris afer) (formerly placed in the genus Nectarinia), is a small bird in the sunbird family",greater double-collared sunbird scientific name Cinnyris afer
"The greater flameback (Chrysocolaptes guttacristatus) also known as greater goldenback, large golden-backed woodpecker is a woodpecker species",greater flameback scientific name Chrysocolaptes guttacristatus
The greater flamingo (Phoenicopterus roseus) is the most widespread and largest species of the flamingo family,greater flamingo scientific name Phoenicopterus roseus
The greater flowerpiercer (Diglossa major) is a species of bird in the family Thraupidae,Greater flowerpiercer scientific name Diglossa major
The greater green leafbird (Chloropsis sonnerati) is a species of bird in the family Chloropseidae,greater green leafbird scientific name Chloropsis sonnerati
The greater ground robin (Amalocichla sclateriana) is a species of bird in the family Petroicidae,Greater Ground Robin scientific name Amalocichla sclateriana
"The greater honeyguide (Indicator indicator) is a bird in the family Indicatoridae, paleotropical near passerine birds related to the woodpeckers",greater honeyguide scientific name Indicator indicator
"The greater kestrel (Falco rupicoloides) or white-eyed kestrel, is a bird of prey belonging to the falcon family Falconidae",greater kestrel scientific name Falco rupicoloides
"The greater lophorina (Lophorina superba), also known as superb bird-of-paradise or greater superb bird-of-paradise, is a species of the Paradisaeidae (bird-of-paradise) family",greater lophorina scientific name Lophorina superba
The greater painted-snipe (Rostratula benghalensis) is a species of wader in the family Rostratulidae,greater painted-snipe scientific name Rostratula benghalensis
The greater pewee (Contopus pertinax) is a passerine and is in the tyrant flycatcher group,"greater pewee scientific name Passerine, Tyrant Flycatcher"
The greater racket-tailed drongo (Dicrurus paradiseus) is a medium-sized Asian bird which is distinctive in having elongated outer tail feathers with webbing restricted to the tips,greater racket-tailed drongo scientific name Dicrurus paradiseus
"The greater roadrunner (Geococcyx californianus) is a long-legged bird in the cuckoo family, Cuculidae, from the Aridoamerica region in the Southwestern United States and Mexico",greater roadrunner scientific name Geococcyx californianus
"The greater sage-grouse (Centrocercus urophasianus), also known as the sagehen, is the largest grouse (a type of bird) in North America",greater sage-grouse scientific name Centrocercus urophasianus
The greater sand plover (Charadrius leschenaultii) is a small wader in the plover family of birds,greater sand plover scientific name Charadrius leschenaultii
"The American robin, also known as the robin redbreast, is a migratory songbird with the scientific name Turdus migratorius.",American robin scientific name Turdus migratorius
The greater swamp warbler (Acrocephalus rufescens) is a species of Old World warbler in the family Acrocephalidae,Greater Swamp Warbler scientific name Acrocephalus rufescens
The greater thornbird (Phacellodomus ruber) is a species of bird in the family Furnariidae,greater thornbird scientific name Phacellodomus ruber
"The greater vasa parrot (Coracopsis vasa) is one of two species of vasa parrot, the other being the lesser vasa parrot C",Vasa Parrot scientific name Coracopsis vasa
The greater wagtail-tyrant (Stigmatura budytoides) is a South American species of bird in the family Tyrannidae,greater wagtail-tyrant scientific name Stigmatura budytoides
The greater yellow finch (Sicalis auriventris) is a species of bird in the family Thraupidae,greater yellow finch scientific name Sicalis auriventris
"The greater yellow-headed vulture (Cathartes melambrotus), also known as the forest vulture,[3] is a species of bird in the New World vulture family Cathartidae",greater yellow-headed vulture scientific name Cathartes melambrotus
"The great-tailed grackle or Mexican grackle (Quiscalus mexicanus) is a medium-sized, highly social passerine bird native to North and South America",Great-tailed Grackle scientific name Quiscalus mexicanus
The great-winged petrel (Pterodroma macroptera) is a petrel,Great-winged petrel scientific name Pterodroma macroptera
"The green araçari (Pteroglossus viridis), is a toucan, a near-passerine bird",Green araçari scientific name Pteroglossus viridis
Stictospiza formosaEstrilda formosa Sporaeginthus formosus,Stictospiza formosa scientific name Stictospiza formosa
The green-backed twinspot or green twinspot (Mandingoa nitidula) is an estrildid finch found in many parts of Sub-Saharan Africa,Green-backed Twinspot scientific name Mandingoa nitidula
The green barbet (Stactolaema olivacea) is a species of bird in the Lybiidae family (African barbets),green barbet scientific name Stactolaema olivacea
The green broadbill (Calyptomena viridis) also known as the lesser green broadbill is a small bird in the family Calyptomenidae,green broadbill scientific name Calyptomena viridis
"The green catbird (Ailuroedus crassirostris) is a species of bowerbird found in subtropical forests along the east coast of Australia, from southeastern Queensland to southern New South Wales",green catbird scientific name Ailuroedus crassirostris
The green cochoa (Cochoa viridis) is a bird species that was variously placed with the thrushes of family Turdidae or the related Muscicapidae (Old World flycatchers),green cochoa scientific name Cochoa viridis
"The green crombec (Sylvietta virens) is a species of African warbler, formerly placed in the family Sylviidae",Green Crombec scientific name Sylvietta virens
The green figbird or Timor figbird (Sphecotheres viridis) is a species of bird in the family Oriolidae,green figbird scientific name Sphecotheres viridis
"The green hermit (Phaethornis guy) is a large hummingbird that is a resident breeder from southern Central America (Costa Rica and Panama) south to northern South America (north-eastern Venezuela and Trinidad, and the northern Andes of eastern Peru)",Green Hermit scientific name Phaethornis guy
The green honeycreeper (Chlorophanes spiza) is a small bird in the tanager family,green honeycreeper scientific name Chlorophanes spiza
"The green hylia (Hylia prasina) is a monotypic genus widespread in tropical Africa, where it mostly inhabits the understory and mid-stratum of moist forest",Green Hylia scientific name Hylia prasina
"The green ibis (Mesembrinibis cayennensis), also known as the Cayenne ibis, is a wading bird in the ibis family Threskiornithidae",green ibis scientific name Mesembrinibis cayennensis
The green imperial pigeon (Ducula aenea) is a large forest pigeon,green imperial pigeon scientific name Ducula aenea
The green iora (Aegithina viridissima) is a species of bird in the family Aegithinidae,green iora scientific name Aegithina viridissima
"The green jay (Cyanocorax luxuosus) is a species of the New World jays, and is found in Central America",Green Jay scientific name Cyanocorax luxuosus
The green jery (Neomixis viridis) is a species of bird in the family Cisticolidae,Green jery scientific name Neomixis viridis
"The green junglefowl (Gallus varius), also known as Javan junglefowl, forktail or green Javanese junglefowl, is the most distantly related and the first to diverge at least 4 million years ago among the four species of the junglefowl",Green Junglefowl scientific name Gallus varius
"The green longtail (Urolais epichlorus) is a bird species of the family Cisticolidae, in the monotypic genus Urolais",green longtail scientific name Urolais epichlorus
The green malkoha or whistling yellowbill (Ceuthmochares australis) is a species of cuckoo in the family Cuculidae,green malkoha scientific name Ceuthmochares australis
The green mango (Anthracothorax viridis) is a large species of hummingbird in the subfamily Polytminae,hummingbird scientific name Anthracothorax viridis
The green oriole or Australasian yellow oriole (Oriolus flavocinctus) is an inconspicuous inhabitant of lush tropical vegetation throughout Australia and New Guinea,green oriole scientific name Oriolus flavocinctus
The green oropendola (Psarocolius viridis) is a species of bird in the family Icteridae,green oropendola scientific name Psarocolius viridis
"The green parakeet (Psittacara holochlorus) is a medium-sized parrot occurring in North and Central America, from the southernmost tip of Texas south to northern Nicaragua",green parakeet scientific name Psittacara holochlorus
The green peafowl or Indonesian peafowl (Pavo muticus) is a peafowl species native to the tropical forests of Southeast Asia and Indochina,peafowl scientific name Pavo muticus
The green pygmy goose (Nettapus pulchellus) is a small perching duck which breeds in southern New Guinea and northern Australia,green pygmy goose scientific name Nettapus pulchellus
The green racket-tail (Prioniturus luconensis) is an endemic parrot of the Philippines where it is found on Luzon and Marinduque,Green Racket-tail scientific name Prioniturus luconensis
The green rosella or Tasmanian rosella (Platycercus caledonicus) is a species of parrot native to Tasmania and Bass Strait islands,green rosella scientific name Platycercus caledonicus
The green sandpiper (Tringa ochropus) is a small wader (shorebird) of the Old World,green sandpiper scientific name Tringa ochropus
The green shrike-babbler (Pteruthius xanthochlorus) is a bird species that was earlier placed in the family Timaliidae,Green Shrike-Babbler scientific name Pteruthius xanthochlorus
The green shrike-vireo (Vireolanius pulchellus) is a species of bird in the family Vireonidae,Green Shrike-Vireo scientific name Vireolanius pulchellus
The green tinkerbird (Pogoniulus simplex) is a species of bird in the Lybiidae family (African barbets),green tinkerbird scientific name Pogoniulus simplex
"The green warbler (Phylloscopus nitidus), also known as green willow warbler or green leaf warbler, is a leaf warbler found in the Caucasus Mountains in southeastern Europe",Green Warbler scientific name Phylloscopus nitidus
"The green warbler-finch (Certhidea olivacea) is a species of bird, one of Darwin's finches in the tanager family Thraupidae",green warbler-finch scientific name Certhidea olivacea
The green white-eye (Zosterops stuhlmanni) is a bird species in the family Zosteropidae,green white-eye scientific name Zosterops stuhlmanni
"The green wood hoopoe (Phoeniculus purpureus) is a large, up to 44 cm (17 in) long, near-passerine tropical bird native to Africa",green wood hoopoe scientific name Phoeniculus purpureus
The green-and-black fruiteater (Pipreola riefferii) is a species of bird in the family Cotingidae,Fruiteater scientific name Pipreola riefferii
"The green-and-gold tanager (Tangara schrankii) is a species of bird in the family Thraupidae, the tanagers",green-and-gold tanager scientific name Tangara schrankii
"The green-and-white hummingbird (Elliotomyia viridicauda) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",hummingbird scientific name Elliotomyia viridicauda
The green-backed becard (Pachyramphus viridis) is a species of bird in the family Tityridae,Green-backed Becard scientific name Pachyramphus viridis
"The green-backed camaroptera (Camaroptera brachyura), also known as the bleating camaroptera, is a small bird in the family Cisticolidae",green-backed camaroptera scientific name Camaroptera brachyura
The green-backed eremomela (Eremomela canescens) is a member of the Cisticolidae,green-backed eremomela scientific name Eremomela canescens
"The green-backed firecrown (Sephanoides sephaniodes) is a hummingbird in the ""coquettes"", tribe Lesbiini of subfamily Lesbiinae",Green-backed Firecrown scientific name Sephanoides sephaniodes
The green-backed gerygone (Gerygone chloronota) is a species of bird in the family Acanthizidae found in northern Australia and New Guinea,Gerygone chloronota scientific name Gerygone chloronota
"The green-backed hillstar (Urochroa leucura), formerly included in the white-tailed hillstar, is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",green-backed hillstar scientific name Urochroa leucura
"The green-backed honeybird (Prodotiscus zambesiae), also known as the eastern green-backed honeyguide, green-backed honeyguide and slender-billed honeyguide, is a species of bird in the family Indicatoridae",green-backed honeybird scientific name Prodotiscus zambesiae
The green-backed honeyeater (Glycichaera fallax) is a species of bird in the family Meliphagidae,Green-backed honeyeater scientific name Glycichaera fallax
"The green-backed kingfisher (Actenoides monachus) is a species of bird in the family Alcedinidae endemic to Indonesia, where it is restricted to north and central Sulawesi, and the islands of Manadotua and Lembeh",Green-backed Kingfisher scientific name Actenoides monachus
The green-backed robin (Pachycephalopsis hattamensis) is a species of bird in the family Petroicidae,green-backed robin scientific name Pachycephalopsis hattamensis
"The green-backed sparrow (Arremonops chloronotus) is a species of bird in the family Passerellidae that is found in Belize, northern Guatemala, western Honduras and southern Mexico",Green-backed sparrow scientific name Arremonops chloronotus
The green-backed tit (Parus monticolus) is a species of bird in the family Paridae,green-backed tit scientific name Parus monticolus
The green-backed white-eye (Zosterops xanthochroa) is a species of bird in the family Zosteropidae,green-backed white-eye scientific name Zosterops xanthochroa
The green-barred woodpecker or green-barred flicker (Colaptes melanochloros) is a species of bird in subfamily Picinae of the woodpecker family Picidae,Green-barred woodpecker scientific name Colaptes melanochloros
The green-billed malkoha (Phaenicophaeus tristis) is a species of non-parasitic cuckoo found throughout Indian Subcontinent and Southeast Asia,green-billed malkoha scientific name Phaenicophaeus tristis
"The green-billed toucan (Ramphastos dicolorus), or red-breasted toucan, is a near-passerine bird in the family Ramphastidae, the toucans, toucanets, and aracaris",green-billed toucan scientific name Ramphastos dicolorus
The green-breasted bushshrike or gladiator bushshrike (Malaconotus gladiator) is a species of bird in the family Malaconotidae,Green-breasted Bushshrike scientific name Malaconotus gladiator
The green-breasted mango or Prevost's mango (Anthracothorax prevostii) is a species in subfamily Polytminae of the hummingbird family Trochilidae,green-breasted mango scientific name Anthracothorax prevostii
